algorithm,graph,outcome,t_load,t_makespan,t_processing
SSSP,dota-league,succeed,103.730,29.426,1.686
SSSP,dota-league,succeed,103.730,29.186,1.845
SSSP,dota-league,succeed,103.730,28.874,1.564
SSSP,graph500-26,succeed,4051.476,862.861,72.254
SSSP,graph500-26,succeed,4051.476,860.965,69.982
SSSP,graph500-26,succeed,4051.476,871.303,73.250
BFS,uniform-25,succeed,2528.623,265.232,7.721
BFS,uniform-25,succeed,2528.623,273.452,8.568
BFS,uniform-25,succeed,2528.623,266.264,7.760
SSSP,uniform-26,succeed,4369.963,909.728,117.137
SSSP,uniform-26,succeed,4369.963,927.512,115.053
SSSP,uniform-26,succeed,4369.963,908.631,113.440
SSSP,graph500-25,failed,0.050,nan,nan
SSSP,graph500-25,failed,0.050,nan,nan
SSSP,graph500-25,failed,0.050,nan,nan
WCC,uniform-26,succeed,4401.091,568.491,35.736
WCC,uniform-26,succeed,4401.091,553.148,34.962
WCC,uniform-26,succeed,4401.091,559.113,37.489
SSSP,uniform-22,succeed,211.331,51.894,3.985
SSSP,uniform-22,succeed,211.331,51.317,4.040
SSSP,uniform-22,succeed,211.331,51.076,3.722
CDLP,uniform-24,succeed,968.743,205.788,79.917
CDLP,uniform-24,succeed,968.743,203.864,78.249
CDLP,uniform-24,succeed,968.743,205.554,77.798
CDLP,uniform-26,succeed,4401.091,890.918,368.211
CDLP,uniform-26,succeed,4401.091,839.907,322.699
CDLP,uniform-26,succeed,4401.091,879.341,360.283
LCC,uniform-26,succeed,4401.091,621.168,87.804
LCC,uniform-26,succeed,4401.091,617.420,88.744
LCC,uniform-26,succeed,4401.091,629.830,87.462
BFS,graph500-26,succeed,4208.482,542.665,24.565
BFS,graph500-26,succeed,4208.482,542.975,24.701
BFS,graph500-26,succeed,4208.482,542.473,25.392
PR,uniform-26,succeed,4401.091,720.714,182.106
PR,uniform-26,succeed,4401.091,718.697,178.901
PR,uniform-26,succeed,4401.091,715.446,178.080
CDLP,graph500-24,succeed,908.150,197.477,72.001
CDLP,graph500-24,succeed,908.150,199.233,73.799
CDLP,graph500-24,succeed,908.150,200.960,75.125
CDLP,uniform-22,succeed,246.062,49.387,18.154
CDLP,uniform-22,succeed,246.062,49.782,18.762
CDLP,uniform-22,succeed,246.062,49.543,18.605
LCC,graph500-24,succeed,908.150,449.203,320.055
LCC,graph500-24,succeed,908.150,451.482,322.781
LCC,graph500-24,succeed,908.150,447.469,318.121
WCC,graph500-26,succeed,4208.482,538.409,21.126
WCC,graph500-26,succeed,4208.482,537.945,20.498
WCC,graph500-26,succeed,4208.482,543.669,22.474
LCC,graph500-25,succeed,1986.622,1046.273,786.478
LCC,graph500-25,succeed,1986.622,1061.602,795.681
LCC,graph500-25,succeed,1986.622,1070.566,806.187
BFS,dota-league,succeed,101.366,21.231,0.142
BFS,dota-league,succeed,101.366,21.221,0.199
BFS,dota-league,succeed,101.366,21.280,0.105
PR,graph500-24,succeed,908.150,159.140,28.607
PR,graph500-24,succeed,908.150,158.007,27.717
PR,graph500-24,succeed,908.150,157.355,27.968
BFS,uniform-22,succeed,246.062,31.509,0.451
BFS,uniform-22,succeed,246.062,31.568,0.501
BFS,uniform-22,succeed,246.062,31.579,0.491
WCC,graph500-24,succeed,908.150,130.553,4.458
WCC,graph500-24,succeed,908.150,129.342,4.217
WCC,graph500-24,succeed,908.150,129.588,4.280
PR,dota-league,succeed,101.366,22.189,1.197
PR,dota-league,succeed,101.366,22.195,1.079
PR,dota-league,succeed,101.366,22.499,1.194
PR,graph500-22,succeed,237.852,38.229,6.255
PR,graph500-22,succeed,237.852,38.877,6.773
PR,graph500-22,succeed,237.852,38.343,6.239
CDLP,graph500-25,succeed,1986.622,401.570,145.521
CDLP,graph500-25,succeed,1986.622,402.978,147.029
CDLP,graph500-25,succeed,1986.622,412.072,156.181
CDLP,dota-league,succeed,101.366,34.605,13.682
CDLP,dota-league,succeed,101.366,34.580,13.647
CDLP,dota-league,succeed,101.366,34.916,13.870
BFS,graph500-22,succeed,237.852,31.985,0.991
BFS,graph500-22,succeed,237.852,32.011,1.001
BFS,graph500-22,succeed,237.852,31.960,1.008
PR,graph500-26,succeed,4208.482,655.320,120.777
PR,graph500-26,succeed,4208.482,662.462,126.015
PR,graph500-26,succeed,4208.482,666.486,128.513
PR,uniform-22,succeed,246.062,41.821,9.328
PR,uniform-22,succeed,246.062,41.956,9.276
PR,uniform-22,succeed,246.062,42.854,9.774
BFS,uniform-26,succeed,4401.091,535.955,16.174
BFS,uniform-26,succeed,4401.091,533.685,15.588
BFS,uniform-26,succeed,4401.091,535.132,16.107
LCC,graph500-22,succeed,237.852,84.976,53.204
LCC,graph500-22,succeed,237.852,84.607,52.699
LCC,graph500-22,succeed,237.852,84.882,53.012
PR,graph500-25,succeed,1986.622,322.690,58.738
PR,graph500-25,succeed,1986.622,322.332,57.601
PR,graph500-25,succeed,1986.622,322.938,59.693
LCC,dota-league,succeed,101.366,134.419,112.805
LCC,dota-league,succeed,101.366,135.571,113.436
LCC,dota-league,succeed,101.366,134.127,113.189
LCC,graph500-26,succeed,4208.482,2533.297,2003.983
LCC,graph500-26,succeed,4208.482,2498.315,1965.552
LCC,graph500-26,succeed,4208.482,2502.778,1970.063
BFS,graph500-24,succeed,908.150,129.935,1.846
BFS,graph500-24,succeed,908.150,127.670,1.948
BFS,graph500-24,succeed,908.150,126.889,1.804
BFS,uniform-24,succeed,968.743,127.171,1.193
BFS,uniform-24,succeed,968.743,127.008,1.251
BFS,uniform-24,succeed,968.743,126.848,1.209
PR,uniform-25,succeed,2528.623,352.755,88.775
PR,uniform-25,succeed,2528.623,353.527,86.048
PR,uniform-25,succeed,2528.623,356.244,90.024
LCC,uniform-25,succeed,2528.623,305.806,42.044
LCC,uniform-25,succeed,2528.623,301.065,38.302
LCC,uniform-25,succeed,2528.623,309.385,40.917
LCC,uniform-22,succeed,246.062,36.461,4.540
LCC,uniform-22,succeed,246.062,36.911,4.736
LCC,uniform-22,succeed,246.062,36.963,4.466
WCC,uniform-24,succeed,968.743,133.134,7.441
WCC,uniform-24,succeed,968.743,133.506,7.529
WCC,uniform-24,succeed,968.743,133.202,7.568
WCC,dota-league,succeed,101.366,21.510,0.477
WCC,dota-league,succeed,101.366,21.280,0.320
WCC,dota-league,succeed,101.366,21.251,0.287
WCC,uniform-22,succeed,246.062,32.574,1.497
WCC,uniform-22,succeed,246.062,32.196,1.298
WCC,uniform-22,succeed,246.062,32.249,1.307
WCC,uniform-25,succeed,2528.623,271.930,14.208
WCC,uniform-25,succeed,2528.623,270.363,14.186
WCC,uniform-25,succeed,2528.623,271.736,15.574
LCC,uniform-24,succeed,968.743,150.278,18.615
LCC,uniform-24,succeed,968.743,147.954,19.143
LCC,uniform-24,succeed,968.743,146.668,18.478
SSSP,graph500-24,succeed,0.025,212.051,15.579
SSSP,graph500-24,succeed,0.025,207.720,15.759
SSSP,graph500-24,succeed,0.025,207.998,15.812
SSSP,uniform-24,succeed,988.120,218.086,24.577
SSSP,uniform-24,succeed,988.120,217.577,24.184
SSSP,uniform-24,succeed,988.120,219.279,23.532
CDLP,uniform-25,succeed,2528.623,418.520,161.980
CDLP,uniform-25,succeed,2528.623,410.384,153.537
CDLP,uniform-25,succeed,2528.623,414.070,157.446
PR,uniform-24,succeed,968.743,173.148,42.999
PR,uniform-24,succeed,968.743,177.280,45.765
PR,uniform-24,succeed,968.743,174.367,43.379
WCC,graph500-25,succeed,1986.622,265.054,10.157
WCC,graph500-25,succeed,1986.622,264.878,9.678
WCC,graph500-25,succeed,1986.622,266.918,10.089
BFS,graph500-25,succeed,1986.622,264.230,8.476
BFS,graph500-25,succeed,1986.622,262.241,7.873
BFS,graph500-25,succeed,1986.622,268.860,7.817
CDLP,graph500-26,succeed,4208.482,839.274,322.824
CDLP,graph500-26,succeed,4208.482,850.711,329.396
CDLP,graph500-26,succeed,4208.482,829.801,308.075
SSSP,graph500-22,succeed,0.026,52.548,2.458
SSSP,graph500-22,succeed,0.026,50.313,2.583
SSSP,graph500-22,succeed,0.026,50.089,2.602
CDLP,graph500-22,succeed,237.852,49.387,18.476
CDLP,graph500-22,succeed,237.852,48.381,17.516
CDLP,graph500-22,succeed,237.852,50.178,19.359
WCC,graph500-22,succeed,237.852,32.839,1.273
WCC,graph500-22,succeed,237.852,33.057,2.000
WCC,graph500-22,succeed,237.852,32.908,1.715
SSSP,uniform-25,succeed,2052.354,442.680,50.731
SSSP,uniform-25,succeed,2052.354,442.453,49.626
SSSP,uniform-25,succeed,2052.354,452.323,50.394
