algorithm,graph,outcome,t_load,t_makespan,t_processing
CDLP,graph500-24,succeed,606.511,424.444,396.410
CDLP,graph500-24,succeed,606.511,947.005,872.496
CDLP,graph500-24,succeed,606.511,420.444,392.585
CDLP,graph500-24,succeed,606.511,1505.790,1382.038
CDLP,graph500-24,succeed,606.511,2709.136,2529.713
PR,graph500-24,succeed,606.511,323.342,205.537
PR,graph500-24,succeed,606.511,204.375,132.363
PR,graph500-24,succeed,606.511,203.754,132.196
PR,graph500-24,succeed,606.511,91.988,64.522
PR,graph500-24,succeed,606.511,447.450,281.606
PR,uniform-24,succeed,3207.172,566.148,355.048
PR,uniform-24,succeed,3207.172,1280.081,999.375
PR,uniform-24,succeed,3207.172,1203.711,879.473
PR,uniform-24,succeed,3207.172,427.342,276.270
PR,uniform-24,succeed,3207.172,428.047,277.262
WCC,uniform-24,succeed,3207.172,557.818,346.897
WCC,uniform-24,succeed,3207.172,409.161,257.899
WCC,uniform-24,succeed,3207.172,409.772,258.069
WCC,uniform-24,succeed,3207.172,907.000,628.892
WCC,uniform-24,succeed,3207.172,409.153,258.065
CDLP,uniform-24,succeed,3207.172,1497.740,1397.139
CDLP,uniform-24,failed,3207.172,nan,nan
CDLP,uniform-24,succeed,3207.172,2388.787,2229.221
CDLP,uniform-24,succeed,3207.172,3287.422,3064.765
CDLP,uniform-24,succeed,3207.172,3286.563,3064.599
WCC,graph500-24,succeed,606.511,253.901,136.495
WCC,graph500-24,succeed,606.511,347.428,182.510
WCC,graph500-24,succeed,606.511,480.443,257.756
WCC,graph500-24,succeed,606.511,253.808,136.014
WCC,graph500-24,succeed,606.511,353.927,187.222
BFS,graph500-24,succeed,606.511,83.328,12.595
BFS,graph500-24,succeed,606.511,189.797,25.549
BFS,graph500-24,succeed,606.511,84.762,12.626
BFS,graph500-24,succeed,606.511,196.885,31.213
BFS,graph500-24,succeed,606.511,84.740,12.633
BFS,uniform-24,succeed,3207.172,252.578,41.588
BFS,uniform-24,succeed,3207.172,251.481,41.349
BFS,uniform-24,succeed,3207.172,188.585,30.414
BFS,uniform-24,succeed,3207.172,251.322,41.053
BFS,uniform-24,succeed,3207.172,105.567,20.049
LCC,graph500-24,failed,606.511,nan,nan
LCC,graph500-24,failed,606.511,nan,nan
LCC,graph500-24,failed,606.511,nan,nan
LCC,graph500-24,failed,606.511,nan,nan
LCC,graph500-24,failed,606.511,nan,nan
LCC,uniform-24,succeed,3207.172,2148.043,1763.758
LCC,uniform-24,succeed,3207.172,973.957,797.852
LCC,uniform-24,succeed,3207.172,583.719,481.914
LCC,uniform-24,succeed,3207.172,1327.334,1081.621
LCC,uniform-24,succeed,3207.172,789.343,621.997
