algorithm,graph,outcome,t_load,t_makespan,t_processing
SSSP,uniform-26,succeed,3572.420,670.151,527.459
SSSP,uniform-26,succeed,3572.420,663.433,522.173
SSSP,uniform-26,succeed,3572.420,669.734,528.209
PR,uniform-26,succeed,2818.218,692.168,557.293
PR,uniform-26,succeed,2818.218,694.298,559.035
PR,uniform-26,succeed,2818.218,691.693,556.251
BFS,uniform-26,succeed,2818.218,172.367,43.019
BFS,uniform-26,succeed,2818.218,172.557,43.253
BFS,uniform-26,succeed,2818.218,171.676,42.295
CDLP,uniform-26,succeed,2818.218,3378.144,3237.134
CDLP,uniform-26,succeed,2818.218,3391.468,3249.515
CDLP,uniform-26,succeed,2818.218,3382.792,3241.346
LCC,uniform-26,succeed,2818.218,1343.721,1177.443
LCC,uniform-26,succeed,2818.218,1344.170,1178.071
LCC,uniform-26,succeed,2818.218,1343.053,1176.870
WCC,uniform-26,succeed,2818.218,546.409,416.366
WCC,uniform-26,succeed,2818.218,547.127,417.159
WCC,uniform-26,succeed,2818.218,545.170,415.104
CDLP,graph500-25,succeed,1283.875,984.639,928.261
CDLP,graph500-25,succeed,1283.875,982.132,926.015
CDLP,graph500-25,failed,1283.875,nan,nan
CDLP,graph500-25,failed,1283.875,nan,nan
CDLP,graph500-25,succeed,1283.875,981.759,925.490
CDLP,dota-league,succeed,1193.059,974.281,843.274
CDLP,dota-league,succeed,1193.059,974.986,841.698
CDLP,dota-league,succeed,1193.059,904.276,787.925
CDLP,dota-league,succeed,1193.059,965.727,843.370
CDLP,dota-league,succeed,1193.059,971.748,839.054
WCC,graph500-24,succeed,3578.782,1276.905,720.680
WCC,graph500-24,succeed,3578.782,680.039,357.252
WCC,graph500-24,succeed,3578.782,678.850,355.807
WCC,graph500-24,succeed,3578.782,686.661,365.466
WCC,graph500-24,succeed,3578.782,1073.607,578.980
CDLP,uniform-22,succeed,147.682,105.553,96.548
CDLP,uniform-22,succeed,147.682,105.626,96.690
CDLP,uniform-22,succeed,147.682,105.107,96.113
CDLP,uniform-22,succeed,147.682,107.098,98.148
CDLP,uniform-22,succeed,147.682,107.044,98.089
LCC,dota-league,failed,1193.059,nan,nan
LCC,dota-league,failed,1193.059,nan,nan
LCC,dota-league,failed,1193.059,nan,nan
LCC,dota-league,failed,1193.059,nan,nan
LCC,dota-league,failed,1193.059,nan,nan
PR,dota-league,succeed,1193.059,180.302,83.900
PR,dota-league,succeed,1193.059,227.993,106.681
PR,dota-league,succeed,1193.059,237.515,105.625
PR,dota-league,succeed,1193.059,227.672,106.402
PR,dota-league,succeed,1193.059,212.213,97.687
SSSP,dota-league,succeed,1802.101,175.851,50.525
SSSP,dota-league,succeed,1802.101,164.103,46.742
SSSP,dota-league,succeed,1802.101,174.848,50.903
SSSP,dota-league,succeed,1802.101,173.764,50.284
SSSP,dota-league,succeed,1802.101,173.665,50.055
WCC,graph500-25,succeed,1283.875,1404.145,894.630
WCC,graph500-25,succeed,1283.875,156.249,103.290
WCC,graph500-25,succeed,1283.875,151.306,98.597
WCC,graph500-25,succeed,1283.875,771.851,436.914
WCC,graph500-25,succeed,1283.875,1110.074,710.372
LCC,uniform-22,succeed,147.682,59.748,49.262
LCC,uniform-22,succeed,147.682,59.654,49.250
LCC,uniform-22,succeed,147.682,59.736,49.278
LCC,uniform-22,succeed,147.682,59.792,49.385
LCC,uniform-22,succeed,147.682,59.754,49.361
BFS,graph500-25,succeed,1283.875,65.583,13.234
BFS,graph500-25,succeed,1283.875,617.994,113.430
BFS,graph500-25,succeed,1283.875,279.375,42.292
BFS,graph500-25,succeed,1283.875,170.078,27.191
BFS,graph500-25,succeed,1283.875,65.640,13.339
BFS,graph500-22,succeed,337.414,14.601,2.114
BFS,graph500-22,succeed,337.414,28.042,3.586
BFS,graph500-22,succeed,337.414,14.574,2.160
BFS,graph500-22,succeed,337.414,28.092,3.600
BFS,graph500-22,succeed,337.414,8.460,1.473
WCC,uniform-24,succeed,7749.708,1536.428,898.809
WCC,uniform-24,succeed,7749.708,780.502,475.339
WCC,uniform-24,succeed,7749.708,1381.525,869.972
WCC,uniform-24,succeed,7749.708,1136.524,709.024
WCC,uniform-24,succeed,7749.708,620.156,350.729
LCC,uniform-24,succeed,7749.708,2786.754,2253.591
LCC,uniform-24,succeed,7749.708,1147.358,934.059
LCC,uniform-24,succeed,7749.708,3138.409,2533.687
LCC,uniform-24,succeed,7749.708,2994.136,2395.470
LCC,uniform-24,failed,7749.708,nan,nan
SSSP,uniform-22,succeed,187.000,26.998,17.827
SSSP,uniform-22,succeed,187.000,26.956,17.810
SSSP,uniform-22,succeed,187.000,27.110,17.942
SSSP,uniform-22,succeed,187.000,26.969,17.776
SSSP,uniform-22,succeed,187.000,27.055,17.770
PR,uniform-22,succeed,147.682,28.170,19.350
PR,uniform-22,succeed,147.682,28.349,19.386
PR,uniform-22,succeed,147.682,28.151,19.331
PR,uniform-22,succeed,147.682,28.188,19.375
PR,uniform-22,succeed,147.682,28.108,19.281
PR,uniform-25,succeed,1322.058,255.020,186.945
PR,uniform-25,succeed,1322.058,254.992,186.925
PR,uniform-25,succeed,1322.058,255.487,187.494
PR,uniform-25,succeed,1322.058,255.669,187.465
PR,uniform-25,succeed,1322.058,254.544,186.463
WCC,dota-league,succeed,1193.059,203.189,73.240
WCC,dota-league,succeed,1193.059,152.304,56.688
WCC,dota-league,succeed,1193.059,161.866,57.293
WCC,dota-league,succeed,1193.059,195.844,72.678
WCC,dota-league,succeed,1193.059,181.857,67.367
